Small Find Number,National Museum Number,Excavation Locus,Present Location,Place of Origin,Description,Dating,Condition,Acquired by,Excavation Date,Label on Object,Label on Box or Tag,Remarks,Bibliography/Shinnie Pg #,Dimensions/Weight,Colour/Material,Recorded by,Object Category,Photo/Drawing/Impression
1,??,B50(5),?,Meroe,"""Cylindrical green faience bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
2,??,B50(5),?,Meroe,"""Ostrich-egg shell disc bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
3,??,B50(5),?,Meroe,"""Ball faience bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
4,??,B50(1),?,Meroe,"""Ostrich-egg shell disc bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
5,??,D50(5),?,Meroe,"""Ball faience bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
6,??,D50(5),?,Meroe,"""Faience bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
7,??,D50(5),?,Meroe,"""Ostrich-egg shell disc bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
8,??,D50(5),?,Meroe,"""Ostrich-egg shell disc bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
9,??,D50(5),?,Meroe,"""Ostrich-egg shell disc bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
10,??,B50(1),?,Meroe,"""Ostrich-egg shell disc bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
11,??,B50(1),?,Meroe,"""Cylindrical glass bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
12,??,D50(5),?,Meroe,"""Cylindrical faience bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
13,??,D50(5),?,Meroe,"""Cylindrical faience bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
14,??,D50(5),?,Meroe,"""Cylindrical faience bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
15,??,D50(5),?,Meroe,"""Cylindrical faience bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
16,??,B50(6),?,Meroe,"""Cylindrical faience bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
17,??,B50 (1),?,Meroe,"""Cylindrical faience bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
18,??,B50 (5),?,Meroe,"""Shaped pottery object"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
19,??,B50 (6),?,Meroe,"""Broken cylindrical faience bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
20,??,B60 (6),?,Meroe,"""Ostrich-egg shell disc bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
21,??,D50 (5),?,Meroe,"""Cylindrical faience bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
22,??,D50 (5),?,Meroe,"""Broken cylindrical faience bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
23,??,D50 (5),?,Meroe,"""Circular faience bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
24,??,D50 (5),?,Meroe,"""Ostrich-egg shell disc bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
25,??,B50 (5),?,Meroe,"""Ostrich-egg shell disc bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
26,??,B50 (5a),?,Meroe,"""Faience pendant bead (broken)"" (Shinnie report",,,P.L. Shinnie,,,,,,,,,,
27,??,B50 (5a),?,Meroe,"""Ostrich-egg shell disc bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
28,??,B50 (5a),?,Meroe,"""Ostrich-egg shell disc bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
29,??,B50 (6),?,Meroe,"""Ostrich-egg shell disc bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
30,??,B50 (6a),?,Meroe,"""Cylindrical faience bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
31,??,E50 (1),?,Meroe,"""Pointed copper object (needle?)"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
32,??,E50 (1),?,Meroe,"""Quartzite bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
33,??,D50 (5),?,Meroe,"""Circular faience bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
34,??,B50 (5a),?,Meroe,"""Faience bead (broken)"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
35,??,D50 (5),?,Meroe,"""Ostrich-egg shell disc bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
36,??,D50 (5),?,Meroe,"""Ostrich-egg shell disc bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
37,Should be at NCAM - Lost?,E50 (1),?,Meroe,"""Black and white glass bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
38,??,E50 (1),?,Meroe,"""Green and red glass bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
39,??,E50 (1),?,Meroe,"""Ostrich-egg shell disc bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
40,??,E50 (1),?,Meroe,"""Cylindrical faience bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
41,??,D50 (5),?,Meroe,"""Ostrich-egg shell disc bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
42,??,B50 (5),?,Meroe,"""Blue faience bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
43,??,B50 (5),?,Meroe,"""Cylindrical faience bead (damaged)"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
44,??,B50 (6),?,Meroe,"""Carnelian pendant bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
45,??,B50 (6),?,Meroe,"""Stone bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
123,Should be at NCAM - Lost?,,,,,,,P.L. Shinnie,,,,,,,,,,
129,22960,G50a (1),NCAM GVI (1) [possibly NCAM GVI (2)],Meroe,"Bronze Handle. Metal. Copper? A handle, possibly from a large vessel. It is mostly flat, but curves on either end. Both ends broken. Concave side: One end, the wider one, has a line across it, suggesting that this end may be where the vessel begins. This same side appears to have a curvature, as if for a vessel. Convex Side: Decorative edges running longitudinally along the handle edge.",Meroitic,Good/Corroded; fragment,P.L. Shinnie,?,22960 and 129,N/A,Jane Humphris,,Total length: 8.2cm; greatest width: 5.8cm; narrowest width: 2.8cm; thickness: 0.4cm; weight: 100g,Mint green copper-bronze,ALB,Metal,Photo
187,Should be at NCAM - Lost?,J50 (1),NCAM??,Meroe,"""Blue cylinrical faience bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
230,Should be at NCAM - Lost?,K50 (1),NCAM??,Meroe,"""Double coned pottery bead"" (Shinnie report)",,,P.L. Shinnie,,,,,,,,,,
